id	SNP	INDEL
PF3D7_0103600	39	2
PF3D7_0104100_1	25	0
PSOP24	33	0
PF3D7_0207300	20	2
PF3D7_0209000	13	2
PF3D7_0211700	31	23
PF3D7_0212800	17	0
PF3D7_0217200	53	44
PF3D7_0220800	14	2
PfSERA2_1	53	4
PfSERA3	31	0
PF3D7_0311900	32	24
B9	38	5
PfCSP_1	50	0
ASP	16	0
Pfs16	11	0
PF3D7_0411900_1	19	0
PF3D7_0411900_2	19	0
PfDHFR_1	4	0
PfDHFR_2	6	0
PF3D7_0419900_2	40	0
PF3D7_0422500	24	1
PF3D7_0424400	37	2
PF3D7_0401900	37	22
PF3D7_0501800	28	4
PF3D7_0503200	40	2
PF3D7_0504400	25	1
P38	38	1
PF3D7_0508900	45	2
PF3D7_0519300	16	0
PF3D7_0525100	22	1
PfMDR1_1	15	0
PfMDR1_2	9	3
PfMDR1_3	13	0
PfMDR1_4	15	0
PF3D7_0612900	38	0
PF3D7_0615900	60	3
MSP10	47	2
CS	21	0
PF3D7_0630600	7	0
RAMA	14	1
PF3D7_0710400	27	0
PF3D7_0711500	17	3
PF3D7_0716300	15	0
PF3D7_0724700	21	1
PF3D7_0728200	37	1
PF3D7_0729700	43	1
PF3D7_0802000	24	0
PF3D7_0806200	17	0
PF3D7_0806300	10	0
PF3D7_0807800	19	0
PF3D7_0809400	26	0
PfDHPS_3	8	0
PF3D7_0827100	21	0
GAMA	20	0
PF3D7_0829800	32	9
PF3D7_0830800_1	23	0
PF3D7_0830800_2	25	0
PfDHPS_2	6	0
PfDHPS_1	8	0
RhopH3	29	1
PF3D7_0905600	22	13
PF3D7_0910000	25	0
PF3D7_0935400	33	0
PF3D7_1007900	27	0
PF3D7_1008700	59	2
PF10_0119	30	5
PF3D7_1018600	33	3
PF3D7_1022000	20	0
PF3D7_1034900_1	23	0
PF3D7_1035700	33	1
MSP11.H103.MSP3.7	26	0
PF3D7_1035100	34	1
PF3D7_1110200	31	1
PF3D7_1114900	27	1
PF3D7_1125700	9	8
PF3D7_1126100_1	28	0
PF3D7_1126100_2	22	2
PF3D7_1129100	29	0
PF11_0373	40	7
PF3D7_1145400	33	0
PF3D7_1148700_1	27	0
PfAMA_1	28	3
PF3D7_1211900	23	0
GRP94	13	0
PF3D7_1224000	30	2
PF3D7_1233600	34	0
PF3D7_1239800_1	25	0
PF3D7_1246500	44	1
PF3D7_1250100	43	0
PF3D7_1250400	40	1
PF3D7_1252100	13	0
PF3D7_1302700	63	1
PF3D7_1302900	32	0
MAL13P1.50	21	0
PF3D7_1320700	19	0
PF13_0125	21	0
PF3D7_1322200	23	1
PF3D7_1329100	26	0
PF3D7_1332900	20	0
PF3D7_1333200	43	0
MSRP4	27	0
MSRP3	29	0
SPECT	29	15
PfKelch13C580Y	52	0
PF3D7_1346400	30	1
PF3D7_1352900	35	4
PF3D7_1353100	22	0
PF3D7_1354200	35	13
PfTRAP_1	46	3
PF3D7_1340400	38	0
PF3D7_1407800	31	4
PF3D7_1407900	36	0
PF3D7_1408000	35	0
PF3D7_1408100_1	27	1
PF3D7_1409700	28	0
PF3D7_1410300	43	0
PF3D7_1418100	20	0
Pf113	24	0
PF3D7_1429500	26	4
PF3D7_1429800	20	2
PF3D7_1447900	24	3
PF3D7_1448500	36	0
GEST	20	0
PF3D7_1455300	36	0
PF3D7_1464700	26	3
PF3D7_1465800	30	9
PF3D7_1466200	32	0
PF3D7_1466800	29	1
PF3D7_1469600	52	1
PF3D7_1472300	36	4
PF3D7_1473700	53	5
PF3D7_1475900	19	0
PvDHFR	0	0
